"X","participant_id","exp_trial_type","block_n","trial_n","trial_index","time_elapsed","partner_id","object","label","object_choices","object_selected","score","rt","condition","pair_id","key_feature","predicted"
2267,"p012","director",1,67,270,828977,"p125","star_pink","star","","",NA,1731,"fixed_associations","p012-p125","pink",NA
2269,"p012","director",1,69,277,844543,"p125","square_red","square","","",NA,1818.80000001192,"fixed_associations","p012-p125","red",NA
2271,"p012","director",1,71,284,859815,"p125","cross_grey","cross","","",NA,1750.80000001192,"fixed_associations","p012-p125","grey",NA
2273,"p012","director",2,73,293,898712,"p125","splat_grey","star","","",NA,10194.0999999642,"fixed_associations","p012-p125","grey",0
2275,"p012","director",2,75,300,955056,"p125","splat_pink","star","","",NA,4862,"fixed_associations","p012-p125","pink",1
2277,"p012","director",2,77,307,1005738,"p125","splat_red","diamond","","",NA,7943.09999996424,"fixed_associations","p012-p125","red",0
2279,"p012","director",2,79,314,1030622,"p125","splat_yellow","square","","",NA,6739.69999998808,"fixed_associations","p012-p125","yellow",0
2281,"p012","director",2,81,321,1060355,"p125","splat_red","star","","",NA,4922.10000002384,"fixed_associations","p012-p125","red",0
2283,"p012","director",2,83,328,1089071,"p125","splat_yellow","star","","",NA,2761,"fixed_associations","p012-p125","yellow",0
2285,"p012","director",2,85,335,1115850,"p125","splat_pink","star","","",NA,6327.20000004768,"fixed_associations","p012-p125","pink",1
2287,"p012","director",2,87,342,1140839,"p125","splat_grey","star","","",NA,3056.19999998808,"fixed_associations","p012-p125","grey",0
2289,"p012","director",2,89,349,1165908,"p125","splat_grey","square","","",NA,1977,"fixed_associations","p012-p125","grey",0
2291,"p012","director",2,91,356,1187674,"p125","splat_pink","diamond","","",NA,1760.5,"fixed_associations","p012-p125","pink",0
2293,"p012","director",2,93,363,1212534,"p125","splat_yellow","square","","",NA,4149.30000001192,"fixed_associations","p012-p125","yellow",0
2295,"p012","director",2,95,370,1234201,"p125","splat_red","cross","","",NA,3228.69999998808,"fixed_associations","p012-p125","red",0
2297,"p012","director",2,97,377,1260359,"p125","splat_red","diamond","","",NA,3938.80000001192,"fixed_associations","p012-p125","red",0
2299,"p012","director",2,99,384,1280347,"p125","splat_grey","square","","",NA,1329.09999996424,"fixed_associations","p012-p125","grey",0
2301,"p012","director",2,101,391,1307481,"p125","splat_yellow","diamond","","",NA,5425.09999996424,"fixed_associations","p012-p125","yellow",1
2303,"p012","director",2,103,398,1328407,"p125","splat_pink","diamond","","",NA,2281.80000001192,"fixed_associations","p012-p125","pink",0
2305,"p012","director",3,105,405,1354337,"p125","square_grey","square","","",NA,3261.5,"fixed_associations","p012-p125","grey",0
2307,"p012","director",3,107,412,1379751,"p125","square_pink","square","","",NA,4655.30000001192,"fixed_associations","p012-p125","pink",0
2309,"p012","director",3,109,419,1405034,"p125","cross_red","cross","","",NA,4398.30000001192,"fixed_associations","p012-p125","red",0
2311,"p012","director",3,111,426,1431097,"p125","square_yellow","cross","","",NA,4502.60000002384,"fixed_associations","p012-p125","yellow",0
2313,"p012","director",3,113,433,1452750,"p125","diamond_red","diamond","","",NA,3295.30000001192,"fixed_associations","p012-p125","red",0
2315,"p012","director",3,115,440,1476130,"p125","diamond_grey","diamond","","",NA,5143.60000002384,"fixed_associations","p012-p125","grey",0
2317,"p012","director",3,117,447,1498593,"p125","cross_yellow","cross","","",NA,4211.89999997616,"fixed_associations","p012-p125","yellow",0
2319,"p012","director",3,119,454,1519389,"p125","cross_pink","cross","","",NA,2603.59999996424,"fixed_associations","p012-p125","pink",0
2321,"p012","director",3,121,461,1538122,"p125","square_grey","star","","",NA,5110.69999998808,"fixed_associations","p012-p125","grey",1
2323,"p012","director",3,123,468,1560520,"p125","star_yellow","star","","",NA,2305.40000003576,"fixed_associations","p012-p125","yellow",0
2325,"p012","director",3,125,475,1581798,"p125","cross_pink","cross","","",NA,3378.60000002384,"fixed_associations","p012-p125","pink",0
2327,"p012","director",3,127,482,1605009,"p125","cross_red","cross","","",NA,2915.10000002384,"fixed_associations","p012-p125","red",0
2329,"p012","director",3,129,489,1628190,"p125","star_red","star","","",NA,2701.60000002384,"fixed_associations","p012-p125","red",1
2331,"p012","director",3,131,496,1651826,"p125","square_pink","square","","",NA,1951.39999997616,"fixed_associations","p012-p125","pink",0
2333,"p012","director",3,133,503,1670200,"p125","square_grey","square","","",NA,3119.5,"fixed_associations","p012-p125","grey",0
2335,"p012","director",3,135,510,1690903,"p125","cross_yellow","cross","","",NA,2509.19999998808,"fixed_associations","p012-p125","yellow",0
2337,"p012","director",4,137,519,1726544,"p125","pig","diamond","","",NA,4621.69999998808,"fixed_associations","p012-p125","pig",0
2339,"p012","director",4,139,526,1760668,"p125","volcano","diamond","","",NA,4454.59999996424,"fixed_associations","p012-p125","volcano",0
2341,"p012","director",4,141,533,1790642,"p125","city","square","","",NA,3031.5,"fixed_associations","p012-p125","city",1
2343,"p012","director",4,143,540,1813557,"p125","banana","star","","",NA,3548.79999995232,"fixed_associations","p012-p125","banana",0
2345,"p012","director",4,145,547,1837465,"p125","city","square","","",NA,2374.59999996424,"fixed_associations","p012-p125","city",1
2347,"p012","director",4,147,554,1859153,"p125","volcano","diamond","","",NA,4094.69999998808,"fixed_associations","p012-p125","volcano",0
2349,"p012","director",4,149,561,1885026,"p125","banana","star","","",NA,5321.29999995232,"fixed_associations","p012-p125","banana",0
2351,"p012","director",4,151,568,1909337,"p125","pig","cross","","",NA,5644.40000003576,"fixed_associations","p012-p125","pig",1
2353,"p012","director",4,153,575,1927447,"p125","banana","star","","",NA,1725.09999996424,"fixed_associations","p012-p125","banana",0
2355,"p012","director",4,155,582,1945025,"p125","volcano","diamond","","",NA,2540.59999996424,"fixed_associations","p012-p125","volcano",0
2357,"p012","director",4,157,589,1963921,"p125","city","square","","",NA,2018.5,"fixed_associations","p012-p125","city",1
2359,"p012","director",4,159,596,1981079,"p125","pig","cross","","",NA,2228.69999998808,"fixed_associations","p012-p125","pig",1
2361,"p012","director",4,161,603,2001349,"p125","volcano","diamond","","",NA,2283.69999998808,"fixed_associations","p012-p125","volcano",0
2363,"p012","director",4,163,610,2019731,"p125","city","square","","",NA,2880.10000002384,"fixed_associations","p012-p125","city",1
2365,"p012","director",4,165,617,2037319,"p125","pig","cross","","",NA,2199,"fixed_associations","p012-p125","pig",1
2367,"p012","director",4,167,624,2056420,"p125","banana","star","","",NA,2321.90000003576,"fixed_associations","p012-p125","banana",0
2369,"p012","director",5,169,631,2081644,"p125","happy","square","","",NA,6502.30000001192,"fixed_associations","p012-p125","happy",0
2371,"p012","director",5,171,638,2105614,"p125","inlove","square","","",NA,1912.30000001192,"fixed_associations","p012-p125","inlove",0
2373,"p012","director",5,173,645,2133259,"p125","sad","star","","",NA,6397.60000002384,"fixed_associations","p012-p125","sad",0
2375,"p012","director",5,175,652,2152080,"p125","angry","star","","",NA,2920.69999998808,"fixed_associations","p012-p125","angry",1
2377,"p012","director",5,177,659,2178123,"p125","inlove","square","","",NA,2899.5,"fixed_associations","p012-p125","inlove",0
2379,"p012","director",5,179,666,2202098,"p125","angry","star","","",NA,1896.19999998808,"fixed_associations","p012-p125","angry",1
2381,"p012","director",5,181,673,2231621,"p125","sad","cross","","",NA,5892.10000002384,"fixed_associations","p012-p125","sad",0
2383,"p012","director",5,183,680,2254826,"p125","happy","square","","",NA,5700.09999996424,"fixed_associations","p012-p125","happy",0
2385,"p012","director",5,185,687,2276127,"p125","happy","square","","",NA,2983.60000002384,"fixed_associations","p012-p125","happy",0
2387,"p012","director",5,187,694,2295582,"p125","inlove","square","","",NA,2353.40000003576,"fixed_associations","p012-p125","inlove",0
2389,"p012","director",5,189,701,2317419,"p125","angry","star","","",NA,2012.5,"fixed_associations","p012-p125","angry",1
2391,"p012","director",5,191,708,2338392,"p125","sad","cross","","",NA,3751.89999997616,"fixed_associations","p012-p125","sad",0
2393,"p012","director",5,193,715,2361155,"p125","inlove","square","","",NA,3167.39999997616,"fixed_associations","p012-p125","inlove",0
2395,"p012","director",5,195,722,2381722,"p125","sad","cross","","",NA,1804.20000004768,"fixed_associations","p012-p125","sad",0
2397,"p012","director",5,197,729,2404160,"p125","happy","diamond","","",NA,5485.30000001192,"fixed_associations","p012-p125","happy",0
2399,"p012","director",5,199,736,2423524,"p125","angry","star","","",NA,1706.5,"fixed_associations","p012-p125","angry",1
2410,"p013","director",1,10,70,386418,"p115","cross_yellow","cross","","",NA,2437.89999997616,"fixed_associations","p013-p115","yellow",NA
2412,"p013","director",1,12,77,401081,"p115","hexagon_pink","hexagon","","",NA,2364.20000001788,"fixed_associations","p013-p115","pink",NA
2414,"p013","director",1,14,84,414568,"p115","star_red","star","","",NA,1749.09999999404,"fixed_associations","p013-p115","red",NA
2416,"p013","director",1,16,91,431299,"p115","diamond_grey","diamond","","",NA,3211.39999997616,"fixed_associations","p013-p115","grey",NA
2418,"p013","director",1,18,98,445157,"p115","star_red","star","","",NA,1798.80000001192,"fixed_associations","p013-p115","red",NA
2420,"p013","director",1,20,105,459541,"p115","hexagon_pink","hexagon","","",NA,2035.5,"fixed_associations","p013-p115","pink",NA
2422,"p013","director",1,22,112,473525,"p115","cross_yellow","cross","","",NA,2001.5,"fixed_associations","p013-p115","yellow",NA
2424,"p013","director",1,24,119,487707,"p115","diamond_grey","diamond","","",NA,1885.30000001192,"fixed_associations","p013-p115","grey",NA
2426,"p013","director",1,26,126,502749,"p115","diamond_grey","diamond","","",NA,1909.90000000596,"fixed_associations","p013-p115","grey",NA
2428,"p013","director",1,28,133,516536,"p115","cross_yellow","cross","","",NA,1731.59999999404,"fixed_associations","p013-p115","yellow",NA
2430,"p013","director",1,30,140,530150,"p115","hexagon_pink","hexagon","","",NA,1912.69999998808,"fixed_associations","p013-p115","pink",NA
2432,"p013","director",1,32,147,543076,"p115","star_red","star","","",NA,1375.70000001788,"fixed_associations","p013-p115","red",NA
2434,"p013","director",1,34,154,557234,"p115","diamond_grey","diamond","","",NA,1995.89999997616,"fixed_associations","p013-p115","grey",NA
2436,"p013","director",1,36,161,570488,"p115","star_red","star","","",NA,1531.19999998808,"fixed_associations","p013-p115","red",NA
2438,"p013","director",1,38,168,584019,"p115","hexagon_pink","hexagon","","",NA,1826.90000000596,"fixed_associations","p013-p115","pink",NA
2440,"p013","director",1,40,175,599291,"p115","cross_yellow","cross","","",NA,2322.69999998808,"fixed_associations","p013-p115","yellow",NA
2442,"p013","director",1,42,182,613563,"p115","hexagon_pink","hexagon","","",NA,2294,"fixed_associations","p013-p115","pink",NA
2444,"p013","director",1,44,189,626461,"p115","diamond_grey","diamond","","",NA,1778,"fixed_associations","p013-p115","grey",NA
2446,"p013","director",1,46,196,639313,"p115","star_red","star","","",NA,1302.39999997616,"fixed_associations","p013-p115","red",NA
2448,"p013","director",1,48,203,652101,"p115","cross_yellow","cross","","",NA,1608.59999999404,"fixed_associations","p013-p115","yellow",NA
2450,"p013","director",1,50,210,667172,"p115","hexagon_pink","hexagon","","",NA,1712,"fixed_associations","p013-p115","pink",NA
2452,"p013","director",1,52,217,681064,"p115","diamond_grey","diamond","","",NA,2315.19999998808,"fixed_associations","p013-p115","grey",NA
2454,"p013","director",1,54,224,697114,"p115","cross_yellow","cross","","",NA,3124.59999999404,"fixed_associations","p013-p115","yellow",NA
2456,"p013","director",1,56,231,709895,"p115","star_red","star","","",NA,1410.69999998808,"fixed_associations","p013-p115","red",NA
2458,"p013","director",1,58,238,723203,"p115","hexagon_pink","hexagon","","",NA,1745.30000001192,"fixed_associations","p013-p115","pink",NA
2460,"p013","director",1,60,245,741550,"p115","star_red","star","","",NA,1458.09999999404,"fixed_associations","p013-p115","red",NA
2462,"p013","director",1,62,252,754729,"p115","diamond_grey","diamond","","",NA,2040.10000002384,"fixed_associations","p013-p115","grey",NA
2464,"p013","director",1,64,259,767613,"p115","cross_yellow","cross","","",NA,1114.69999998808,"fixed_associations","p013-p115","yellow",NA
2466,"p013","director",1,66,266,780887,"p115","cross_yellow","cross","","",NA,1590.69999998808,"fixed_associations","p013-p115","yellow",NA
2468,"p013","director",1,68,273,793853,"p115","hexagon_pink","hexagon","","",NA,1951.90000000596,"fixed_associations","p013-p115","pink",NA
2470,"p013","director",1,70,280,806617,"p115","diamond_grey","diamond","","",NA,1714.80000001192,"fixed_associations","p013-p115","grey",NA
2472,"p013","director",1,72,287,818965,"p115","star_red","star","","",NA,1555.79999998212,"fixed_associations","p013-p115","red",NA
2474,"p013","director",2,74,296,883172,"p115","splat_grey","star","","",NA,7036.09999999404,"fixed_associations","p013-p115","grey",0
2476,"p013","director",2,76,303,909918,"p115","splat_pink","diamond","","",NA,6166.59999999404,"fixed_associations","p013-p115","pink",0
2478,"p013","director",2,78,310,941842,"p115","splat_yellow","cross","","",NA,4348.5,"fixed_associations","p013-p115","yellow",1
2480,"p013","director",2,80,317,976720,"p115","splat_red","star","","",NA,5405.30000001192,"fixed_associations","p013-p115","red",1
2482,"p013","director",2,82,324,1001620,"p115","splat_grey","hexagon","","",NA,5827,"fixed_associations","p013-p115","grey",0
2484,"p013","director",2,84,331,1022744,"p115","splat_red","star","","",NA,1973.59999999404,"fixed_associations","p013-p115","red",1
2486,"p013","director",2,86,338,1057222,"p115","splat_pink","diamond","","",NA,3100.20000001788,"fixed_associations","p013-p115","pink",0
2488,"p013","director",2,88,345,1084018,"p115","splat_yellow","cross","","",NA,4767.30000001192,"fixed_associations","p013-p115","yellow",1
2490,"p013","director",2,90,352,1109813,"p115","splat_yellow","cross","","",NA,2789.59999999404,"fixed_associations","p013-p115","yellow",1
2492,"p013","director",2,92,359,1140547,"p115","splat_grey","hexagon","","",NA,3114.59999999404,"fixed_associations","p013-p115","grey",0
2494,"p013","director",2,94,366,1160855,"p115","splat_red","star","","",NA,3241.19999998808,"fixed_associations","p013-p115","red",1
2496,"p013","director",2,96,373,1184187,"p115","splat_pink","diamond","","",NA,3144.90000000596,"fixed_associations","p013-p115","pink",0
2498,"p013","director",2,98,380,1205840,"p115","splat_red","star","","",NA,2707.90000000596,"fixed_associations","p013-p115","red",1
2500,"p013","director",2,100,387,1228708,"p115","splat_yellow","cross","","",NA,5454.5,"fixed_associations","p013-p115","yellow",1
2502,"p013","director",2,102,394,1252792,"p115","splat_pink","diamond","","",NA,4015.70000001788,"fixed_associations","p013-p115","pink",0
2504,"p013","director",2,104,401,1275932,"p115","splat_grey","hexagon","","",NA,3639.10000002384,"fixed_associations","p013-p115","grey",0
2506,"p013","director",3,106,408,1307649,"p115","star_grey","hexagon","","",NA,5724.70000001788,"fixed_associations","p013-p115","grey",1
2508,"p013","director",3,108,415,1335851,"p115","cross_red","star","","",NA,8408.30000001192,"fixed_associations","p013-p115","red",1
2510,"p013","director",3,110,422,1365596,"p115","diamond_pink","diamond","","",NA,6328.80000001192,"fixed_associations","p013-p115","pink",1
2512,"p013","director",3,112,429,1397934,"p115","diamond_yellow","cross","","",NA,4906.89999997616,"fixed_associations","p013-p115","yellow",1
2514,"p013","director",3,114,436,1423206,"p115","cross_grey","hexagon","","",NA,4661.40000000596,"fixed_associations","p013-p115","grey",1
2516,"p013","director",3,116,443,1453259,"p115","cross_red","star","","",NA,7828.69999998808,"fixed_associations","p013-p115","red",1
2518,"p013","director",3,118,450,1474529,"p115","cross_pink","diamond","","",NA,4406.70000001788,"fixed_associations","p013-p115","pink",1
2520,"p013","director",3,120,457,1502308,"p115","diamond_yellow","cross","","",NA,8312.20000001788,"fixed_associations","p013-p115","yellow",1
2522,"p013","director",3,122,464,1523868,"p115","star_grey","hexagon","","",NA,2748.70000001788,"fixed_associations","p013-p115","grey",1
2524,"p013","director",3,124,471,1547262,"p115","star_pink","diamond","","",NA,2868.59999999404,"fixed_associations","p013-p115","pink",1
2526,"p013","director",3,126,478,1570820,"p115","star_yellow","cross","","",NA,5026.79999998212,"fixed_associations","p013-p115","yellow",1
2528,"p013","director",3,128,485,1590945,"p115","hexagon_red","star","","",NA,1705.80000001192,"fixed_associations","p013-p115","red",1
2530,"p013","director",3,130,492,1616245,"p115","hexagon_grey","hexagon","","",NA,2942.29999998212,"fixed_associations","p013-p115","grey",1
2532,"p013","director",3,132,499,1634655,"p115","diamond_red","star","","",NA,2051.59999999404,"fixed_associations","p013-p115","red",1
2534,"p013","director",3,134,506,1654821,"p115","diamond_yellow","cross","","",NA,3656.29999998212,"fixed_associations","p013-p115","yellow",1
2536,"p013","director",3,136,513,1681166,"p115","star_pink","diamond","","",NA,5388.80000001192,"fixed_associations","p013-p115","pink",1
2538,"p013","director",4,138,522,1763204,"p115","city","star","","",NA,4971,"fixed_associations","p013-p115","city",0
2540,"p013","director",4,140,529,1785976,"p115","pig","diamond","","",NA,3593.79999998212,"fixed_associations","p013-p115","pig",1
2542,"p013","director",4,142,536,1815613,"p115","volcano","star","","",NA,2581.80000001192,"fixed_associations","p013-p115","volcano",1
2544,"p013","director",4,144,543,1845583,"p115","banana","cross","","",NA,3741.90000000596,"fixed_associations","p013-p115","banana",1
2546,"p013","director",4,146,550,1873616,"p115","city","hexagon","","",NA,3746.90000000596,"fixed_associations","p013-p115","city",1
2548,"p013","director",4,148,557,1904285,"p115","banana","cross","","",NA,4510.69999998808,"fixed_associations","p013-p115","banana",1
2550,"p013","director",4,150,564,1932252,"p115","pig","diamond","","",NA,6423.20000001788,"fixed_associations","p013-p115","pig",1
2552,"p013","director",4,152,571,1962625,"p115","volcano","star","","",NA,6070.79999998212,"fixed_associations","p013-p115","volcano",1
2554,"p013","director",4,154,578,1988325,"p115","city","hexagon","","",NA,3307.39999997616,"fixed_associations","p013-p115","city",1
2556,"p013","director",4,156,585,2018825,"p115","pig","diamond","","",NA,2271.59999999404,"fixed_associations","p013-p115","pig",1
2558,"p013","director",4,158,592,2057813,"p115","banana","cross","","",NA,4627.90000000596,"fixed_associations","p013-p115","banana",1
2560,"p013","director",4,160,599,2078658,"p115","volcano","star","","",NA,2025.59999999404,"fixed_associations","p013-p115","volcano",1
2562,"p013","director",4,162,606,2102912,"p115","volcano","star","","",NA,2025,"fixed_associations","p013-p115","volcano",1
2564,"p013","director",4,164,613,2122432,"p115","city","hexagon","","",NA,2113.30000001192,"fixed_associations","p013-p115","city",1
2566,"p013","director",4,166,620,2150065,"p115","pig","diamond","","",NA,4918.90000000596,"fixed_associations","p013-p115","pig",1
2568,"p013","director",4,168,627,2172551,"p115","banana","cross","","",NA,1715.40000000596,"fixed_associations","p013-p115","banana",1
2570,"p013","director",5,170,634,2211497,"p115","inlove","hexagon","","",NA,5995.10000002384,"fixed_associations","p013-p115","inlove",0
2572,"p013","director",5,172,641,2244981,"p115","angry","hexagon","","",NA,5660.09999999404,"fixed_associations","p013-p115","angry",0
2574,"p013","director",5,174,648,2280250,"p115","happy","diamond","","",NA,10118,"fixed_associations","p013-p115","happy",0
2576,"p013","director",5,176,655,2310026,"p115","sad","star","","",NA,6928.80000001192,"fixed_associations","p013-p115","sad",0
2578,"p013","director",5,178,662,2370248,"p115","happy","star","","",NA,20001.6999999881,"fixed_associations","p013-p115","happy",0
2580,"p013","director",5,180,669,2399508,"p115","angry","diamond","","",NA,5094,"fixed_associations","p013-p115","angry",0
2582,"p013","director",5,182,676,2428228,"p115","sad","diamond","","",NA,6251.70000001788,"fixed_associations","p013-p115","sad",0
2584,"p013","director",5,184,683,2464640,"p115","inlove","cross","","",NA,13390.2999999821,"fixed_associations","p013-p115","inlove",0
2586,"p013","director",5,186,690,2488090,"p115","happy","star","","",NA,3295.30000001192,"fixed_associations","p013-p115","happy",0
2588,"p013","director",5,188,697,2521259,"p115","sad","diamond","","",NA,3913,"fixed_associations","p013-p115","sad",0
2590,"p013","director",5,190,704,2550553,"p115","inlove","cross","","",NA,3766.5,"fixed_associations","p013-p115","inlove",0
2592,"p013","director",5,192,711,2586064,"p115","angry","hexagon","","",NA,12194.6999999881,"fixed_associations","p013-p115","angry",0
2594,"p013","director",5,194,718,2607346,"p115","angry","hexagon","","",NA,2234.59999999404,"fixed_associations","p013-p115","angry",0
2596,"p013","director",5,196,725,2633597,"p115","sad","diamond","","",NA,4035,"fixed_associations","p013-p115","sad",0
2598,"p013","director",5,198,732,2658551,"p115","inlove","cross","","",NA,6583.79999998212,"fixed_associations","p013-p115","inlove",0
2600,"p013","director",5,200,739,2688418,"p115","happy","star","","",NA,4606.10000002384,"fixed_associations","p013-p115","happy",0
2610,"p014","director",1,10,71,346044,"p194","diamond_yellow","diamond","","",NA,2386.59999999963,"random_associations","p014-p194","yellow",NA
2612,"p014","director",1,12,78,360455,"p194","star_yellow","star","","",NA,1853.29999999981,"random_associations","p014-p194","yellow",NA
2614,"p014","director",1,14,85,375841,"p194","square_pink","square","","",NA,2541.59999999963,"random_associations","p014-p194","pink",NA
2616,"p014","director",1,16,92,391148,"p194","circle_yellow","circle","","",NA,2439.89999999944,"random_associations","p014-p194","yellow",NA
2618,"p014","director",1,18,99,406076,"p194","circle_pink","circle","","",NA,2632.80000000075,"random_associations","p014-p194","pink",NA
2620,"p014","director",1,20,106,420715,"p194","star_red","star","","",NA,1595.20000000019,"random_associations","p014-p194","red",NA
2622,"p014","director",1,22,113,435353,"p194","diamond_yellow","diamond","","",NA,2078.80000000075,"random_associations","p014-p194","yellow",NA
2624,"p014","director",1,24,120,449797,"p194","square_pink","square","","",NA,1497,"random_associations","p014-p194","pink",NA
2626,"p014","director",1,26,127,464961,"p194","diamond_pink","diamond","","",NA,1922.20000000019,"random_associations","p014-p194","pink",NA
2628,"p014","director",1,28,134,478248,"p194","star_pink","star","","",NA,1352.59999999963,"random_associations","p014-p194","pink",NA
2630,"p014","director",1,30,141,490944,"p194","square_pink","square","","",NA,1165.09999999963,"random_associations","p014-p194","pink",NA
2632,"p014","director",1,32,148,503551,"p194","circle_grey","circle","","",NA,1354.89999999944,"random_associations","p014-p194","grey",NA
2634,"p014","director",1,34,155,516840,"p194","diamond_yellow","diamond","","",NA,1875.20000000019,"random_associations","p014-p194","yellow",NA
2636,"p014","director",1,36,162,529153,"p194","star_yellow","star","","",NA,1306.59999999963,"random_associations","p014-p194","yellow",NA
2638,"p014","director",1,38,169,542091,"p194","circle_grey","circle","","",NA,1567,"random_associations","p014-p194","grey",NA
2640,"p014","director",1,40,176,555646,"p194","square_grey","square","","",NA,1981,"random_associations","p014-p194","grey",NA
2642,"p014","director",1,42,183,569523,"p194","circle_red","circle","","",NA,1811,"random_associations","p014-p194","red",NA
2644,"p014","director",1,44,190,582299,"p194","star_yellow","star","","",NA,1400.89999999944,"random_associations","p014-p194","yellow",NA
2646,"p014","director",1,46,197,596134,"p194","diamond_yellow","diamond","","",NA,2150.70000000019,"random_associations","p014-p194","yellow",NA
2648,"p014","director",1,48,204,609934,"p194","square_yellow","square","","",NA,1746.10000000056,"random_associations","p014-p194","yellow",NA
2650,"p014","director",1,50,211,622315,"p194","diamond_red","diamond","","",NA,1448.10000000056,"random_associations","p014-p194","red",NA
2652,"p014","director",1,52,218,634720,"p194","square_red","square","","",NA,1377.59999999963,"random_associations","p014-p194","red",NA
2654,"p014","director",1,54,225,648447,"p194","circle_yellow","circle","","",NA,1659.59999999963,"random_associations","p014-p194","yellow",NA
2656,"p014","director",1,56,232,664711,"p194","star_pink","star","","",NA,1336.80000000075,"random_associations","p014-p194","pink",NA
2658,"p014","director",1,58,239,677158,"p194","square_pink","square","","",NA,1411.20000000019,"random_associations","p014-p194","pink",NA
2660,"p014","director",1,60,246,689528,"p194","diamond_red","diamond","","",NA,1747.09999999963,"random_associations","p014-p194","red",NA
2662,"p014","director",1,62,253,701697,"p194","star_pink","star","","",NA,911.099999999627,"random_associations","p014-p194","pink",NA
2664,"p014","director",1,64,260,714075,"p194","circle_red","circle","","",NA,1442.20000000019,"random_associations","p014-p194","red",NA
2666,"p014","director",1,66,267,726310,"p194","square_pink","square","","",NA,958.800000000745,"random_associations","p014-p194","pink",NA
2668,"p014","director",1,68,274,739279,"p194","star_pink","star","","",NA,1559.89999999944,"random_associations","p014-p194","pink",NA
2670,"p014","director",1,70,281,752967,"p194","diamond_yellow","diamond","","",NA,2334.20000000019,"random_associations","p014-p194","yellow",NA
2672,"p014","director",1,72,288,765410,"p194","circle_red","circle","","",NA,1269.90000000037,"random_associations","p014-p194","red",NA
2674,"p014","director",2,74,297,805551,"p194","splat_grey","circle","","",NA,6620.60000000056,"random_associations","p014-p194","grey",1
2676,"p014","director",2,76,304,834145,"p194","splat_pink","circle","","",NA,2715.09999999963,"random_associations","p014-p194","pink",0
2678,"p014","director",2,78,311,855170,"p194","splat_yellow","diamond","","",NA,5051.19999999925,"random_associations","p014-p194","yellow",1
2680,"p014","director",2,80,318,876094,"p194","splat_red","square","","",NA,3035.29999999981,"random_associations","p014-p194","red",0
2682,"p014","director",2,82,325,899266,"p194","splat_yellow","star","","",NA,4348.20000000019,"random_associations","p014-p194","yellow",0
2684,"p014","director",2,84,332,919199,"p194","splat_pink","diamond","","",NA,2989,"random_associations","p014-p194","pink",0
2686,"p014","director",2,86,339,941433,"p194","splat_red","circle","","",NA,7436.20000000019,"random_associations","p014-p194","red",1
2688,"p014","director",2,88,346,962762,"p194","splat_grey","square","","",NA,3276.60000000056,"random_associations","p014-p194","grey",0
2690,"p014","director",2,90,353,983605,"p194","splat_grey","square","","",NA,5379.59999999963,"random_associations","p014-p194","grey",0
2692,"p014","director",2,92,360,1012465,"p194","splat_red","circle","","",NA,5019,"random_associations","p014-p194","red",1
2694,"p014","director",2,94,367,1038123,"p194","splat_yellow","star","","",NA,3962.40000000037,"random_associations","p014-p194","yellow",0
2696,"p014","director",2,96,374,1060430,"p194","splat_pink","star","","",NA,2015.20000000019,"random_associations","p014-p194","pink",1
2698,"p014","director",2,98,381,1085137,"p194","splat_red","square","","",NA,8226.70000000019,"random_associations","p014-p194","red",0
2700,"p014","director",2,100,388,1107329,"p194","splat_grey","square","","",NA,2957,"random_associations","p014-p194","grey",0
2702,"p014","director",2,102,395,1127250,"p194","splat_yellow","star","","",NA,3770.90000000037,"random_associations","p014-p194","yellow",0
2704,"p014","director",2,104,402,1149212,"p194","splat_pink","diamond","","",NA,2930.70000000019,"random_associations","p014-p194","pink",0
2706,"p014","director",3,106,409,1184783,"p194","circle_pink","circle","","",NA,10261.7000000002,"random_associations","p014-p194","pink",0
2708,"p014","director",3,108,416,1217062,"p194","diamond_red","circle","","",NA,8066.70000000019,"random_associations","p014-p194","red",0
2710,"p014","director",3,110,423,1248060,"p194","diamond_yellow","star","","",NA,2870.20000000019,"random_associations","p014-p194","yellow",1
2712,"p014","director",3,112,430,1269357,"p194","diamond_grey","square","","",NA,5752.60000000056,"random_associations","p014-p194","grey",1
2714,"p014","director",3,114,437,1298921,"p194","circle_red","circle","","",NA,4594,"random_associations","p014-p194","red",0
2716,"p014","director",3,116,444,1325254,"p194","circle_pink","diamond","","",NA,5922.89999999944,"random_associations","p014-p194","pink",1
2718,"p014","director",3,118,451,1350372,"p194","diamond_yellow","star","","",NA,3354.79999999981,"random_associations","p014-p194","yellow",1
2720,"p014","director",3,120,458,1370739,"p194","circle_grey","square","","",NA,3228,"random_associations","p014-p194","grey",1
2722,"p014","director",3,122,465,1395872,"p194","star_yellow","star","","",NA,4122.40000000037,"random_associations","p014-p194","yellow",1
2724,"p014","director",3,124,472,1414916,"p194","square_red","circle","","",NA,1609,"random_associations","p014-p194","red",0
2726,"p014","director",3,126,479,1432928,"p194","circle_grey","square","","",NA,2806.20000000019,"random_associations","p014-p194","grey",1
2728,"p014","director",3,128,486,1451069,"p194","diamond_pink","diamond","","",NA,4251.40000000037,"random_associations","p014-p194","pink",1
2730,"p014","director",3,130,493,1473051,"p194","diamond_pink","diamond","","",NA,5724.09999999963,"random_associations","p014-p194","pink",1
