"X","participant_id","exp_trial_type","block_n","trial_n","trial_index","time_elapsed","partner_id","object","label","object_choices","object_selected","score","rt","condition","pair_id","key_feature","predicted"
93,"p001","director",2,93,364,1929495,"p093","splat_grey","cross","","",NA,2194,"fixed_associations","p001-p093","grey",1
95,"p001","director",2,95,371,1948475,"p093","splat_yellow","circle","","",NA,4239.10000000149,"fixed_associations","p001-p093","yellow",0
97,"p001","director",2,97,378,1987838,"p093","splat_pink","hexagon","","",NA,5226.69999999925,"fixed_associations","p001-p093","pink",0
99,"p001","director",2,99,385,2005947,"p093","splat_yellow","circle","","",NA,2570.5,"fixed_associations","p001-p093","yellow",0
101,"p001","director",2,101,392,2026480,"p093","splat_grey","star","","",NA,5099.29999999888,"fixed_associations","p001-p093","grey",0
103,"p001","director",2,103,399,2046036,"p093","splat_red","cross","","",NA,6591.09999999963,"fixed_associations","p001-p093","red",0
105,"p001","director",3,105,406,2065508,"p093","hexagon_pink","hexagon","","",NA,3614.19999999925,"fixed_associations","p001-p093","pink",1
107,"p001","director",3,107,413,2086900,"p093","star_grey","star","","",NA,1801.5,"fixed_associations","p001-p093","grey",1
109,"p001","director",3,109,420,2114754,"p093","hexagon_red","hexagon","","",NA,6831.69999999925,"fixed_associations","p001-p093","red",0
111,"p001","director",3,111,427,2135112,"p093","cross_yellow","cross","","",NA,3612.89999999851,"fixed_associations","p001-p093","yellow",0
113,"p001","director",3,113,434,2158145,"p093","star_yellow","star","","",NA,7578,"fixed_associations","p001-p093","yellow",0
115,"p001","director",3,115,441,2172849,"p093","circle_grey","circle","","",NA,1650.20000000112,"fixed_associations","p001-p093","grey",0
117,"p001","director",3,117,448,2197502,"p093","hexagon_red","hexagon","","",NA,1619.59999999963,"fixed_associations","p001-p093","red",0
119,"p001","director",3,119,455,2211708,"p093","circle_pink","hexagon","","",NA,1506.09999999963,"fixed_associations","p001-p093","pink",1
121,"p001","director",3,121,462,2229287,"p093","star_yellow","cross","","",NA,2925.90000000037,"fixed_associations","p001-p093","yellow",0
123,"p001","director",3,123,469,2247759,"p093","hexagon_red","circle","","",NA,2377.30000000075,"fixed_associations","p001-p093","red",0
125,"p001","director",3,125,476,2262829,"p093","hexagon_grey","hexagon","","",NA,1874.20000000112,"fixed_associations","p001-p093","grey",0
127,"p001","director",3,127,483,2279120,"p093","cross_pink","cross","","",NA,2607.79999999888,"fixed_associations","p001-p093","pink",0
129,"p001","director",3,129,490,2291617,"p093","cross_pink","cross","","",NA,1283,"fixed_associations","p001-p093","pink",0
131,"p001","director",3,131,497,2305204,"p093","cross_red","cross","","",NA,1404.29999999888,"fixed_associations","p001-p093","red",1
133,"p001","director",3,133,504,2319386,"p093","star_grey","star","","",NA,1009.60000000149,"fixed_associations","p001-p093","grey",1
135,"p001","director",3,135,511,2336426,"p093","cross_yellow","cross","","",NA,2275.30000000075,"fixed_associations","p001-p093","yellow",0
137,"p001","director",4,137,520,2381876,"p093","pig","star","","",NA,9512.69999999925,"fixed_associations","p001-p093","pig",0
139,"p001","director",4,139,527,2408628,"p093","city","star","","",NA,1954,"fixed_associations","p001-p093","city",1
141,"p001","director",4,141,534,2434208,"p093","volcano","star","","",NA,3384.40000000037,"fixed_associations","p001-p093","volcano",0
143,"p001","director",4,143,541,2466330,"p093","banana","star","","",NA,9265.5,"fixed_associations","p001-p093","banana",0
145,"p001","director",4,145,548,2504626,"p093","pig","star","","",NA,5081.30000000075,"fixed_associations","p001-p093","pig",0
147,"p001","director",4,147,555,2534629,"p093","volcano","star","","",NA,1500.90000000037,"fixed_associations","p001-p093","volcano",0
149,"p001","director",4,149,562,2550178,"p093","city","cross","","",NA,2959.69999999925,"fixed_associations","p001-p093","city",0
151,"p001","director",4,151,569,2571205,"p093","banana","star","","",NA,5869.09999999963,"fixed_associations","p001-p093","banana",0
153,"p001","director",4,153,576,2595037,"p093","city","cross","","",NA,4797.5,"fixed_associations","p001-p093","city",0
155,"p001","director",4,155,583,2630089,"p093","volcano","cross","","",NA,4245.59999999963,"fixed_associations","p001-p093","volcano",0
157,"p001","director",4,157,590,2653465,"p093","pig","circle","","",NA,4743.40000000037,"fixed_associations","p001-p093","pig",0
159,"p001","director",4,159,597,2675549,"p093","banana","star","","",NA,2969.09999999963,"fixed_associations","p001-p093","banana",0
161,"p001","director",4,161,604,2694576,"p093","volcano","cross","","",NA,3930.70000000112,"fixed_associations","p001-p093","volcano",0
163,"p001","director",4,163,611,2718110,"p093","pig","circle","","",NA,5596.40000000037,"fixed_associations","p001-p093","pig",0
165,"p001","director",4,165,618,2734746,"p093","city","cross","","",NA,3928,"fixed_associations","p001-p093","city",0
167,"p001","director",4,167,625,2752452,"p093","banana","star","","",NA,3077,"fixed_associations","p001-p093","banana",0
169,"p001","director",5,169,632,2786514,"p093","angry","cross","","",NA,3503.59999999963,"fixed_associations","p001-p093","angry",0
171,"p001","director",5,171,639,2804618,"p093","sad","star","","",NA,1438.5,"fixed_associations","p001-p093","sad",1
173,"p001","director",5,173,646,2823698,"p093","inlove","hexagon","","",NA,2175.90000000037,"fixed_associations","p001-p093","inlove",0
175,"p001","director",5,175,653,2848878,"p093","happy","hexagon","","",NA,2735.19999999925,"fixed_associations","p001-p093","happy",0
177,"p001","director",5,177,660,2876284,"p093","inlove","star","","",NA,2552.39999999851,"fixed_associations","p001-p093","inlove",0
179,"p001","director",5,179,667,2892014,"p093","angry","cross","","",NA,1457.69999999925,"fixed_associations","p001-p093","angry",0
181,"p001","director",5,181,674,2915179,"p093","sad","circle","","",NA,1132.80000000075,"fixed_associations","p001-p093","sad",0
183,"p001","director",5,183,681,2935349,"p093","happy","hexagon","","",NA,1692.09999999963,"fixed_associations","p001-p093","happy",0
185,"p001","director",5,185,688,2956601,"p093","sad","circle","","",NA,4506.59999999963,"fixed_associations","p001-p093","sad",0
187,"p001","director",5,187,695,2978157,"p093","angry","cross","","",NA,2728.40000000037,"fixed_associations","p001-p093","angry",0
189,"p001","director",5,189,702,2997612,"p093","happy","hexagon","","",NA,5224.90000000037,"fixed_associations","p001-p093","happy",0
191,"p001","director",5,191,709,3015229,"p093","inlove","star","","",NA,1451.89999999851,"fixed_associations","p001-p093","inlove",0
193,"p001","director",5,193,716,3028500,"p093","inlove","star","","",NA,1228.5,"fixed_associations","p001-p093","inlove",0
195,"p001","director",5,195,723,3043976,"p093","happy","hexagon","","",NA,1680.40000000037,"fixed_associations","p001-p093","happy",0
197,"p001","director",5,197,730,3060844,"p093","angry","cross","","",NA,2265.09999999963,"fixed_associations","p001-p093","angry",0
